updated_at,file,before,after,reason
2026/05/26 16:46,index.html,買う時期,開始判定,日付で売買が決まる印象を避けるため。
2026/05/26 16:46,index.html,買う時期を見る,開始条件を見る,クリック先が条件判定であることを明確化。
2026/05/26 16:46,index.html,今すぐ全額ではなく、イベントを見ながら段階的に買います。,今すぐ全額ではなく、イベントを見ながら段階的に実施可否を判断します。,実売買指示ではなく判定プロセスであることを明確化。
2026/05/26 16:46,index.html,買う/待つ,開始/待機,強い売買表現を条件判定表現へ変更。
2026/05/26 16:46,index.html,予定通り買う条件,予定通り開始する条件,購入確定ではなく開始条件として表現。
2026/05/26 16:46,index.html,新規買い停止,新規投入停止,実売買命令に見える表現を資金配分の停止へ変更。
2026/05/26 16:46,index.html,買う/追加候補,開始/追加候補,カレンダー凡例の誤読防止。
2026/05/26 16:46,issue_recovery_board_20260525.html,「購入開始」「候補」などの言葉が強すぎる,実施が確定したように見える言葉や、候補の意味が曖昧な言葉,報告書自体に強い旧表現を残さないため。
2026/05/26 16:46,issue_recovery_board_20260525.html,検証候補という強い表現を、検証候補へ整理,強い表現を、検証候補・確認対象・開始判定へ整理,意味不明な文を修正。
2026/05/26 16:46,index.html,購入検討対象,購入検討可否の確認対象,購入できる対象と誤読されないよう、確認段階の表現へ変更。
2026/05/26 16:46,index.html,確認候補,追加確認対象,候補ではなく、追加で確認する対象であることを明確化。
