updated_at,id,phrase,severity,replacement,reason
2026/05/27 03:18,R01,購入開始,BLOCK,開始判定 / 実施可否判断,購入が確定したように見えるため。
2026/05/27 03:18,R02,買う時期,BLOCK,開始判定 / 開始条件,日付だけで売買が決まる誤解を生むため。
2026/05/27 03:18,R03,新規買い,BLOCK,新規投入,売買指示に見えるため。
2026/05/27 03:18,R04,買い推奨,BLOCK,検証候補 / 判断補助,投資助言に近く見えるため。
2026/05/27 03:18,R05,投資推奨,BLOCK,検証候補 / 判断補助,投資助言に近く見えるため。
2026/05/27 03:18,R06,必ず上がる,BLOCK,上昇仮説 / 検証対象,利益保証に見えるため。
2026/05/27 03:18,R07,確実に儲かる,BLOCK,期待値を検証する,利益保証に見えるため。
2026/05/27 03:18,R08,保証,WARN,想定 / 検証 / 条件付き,保証という語は顧客説明で誤解されやすい。
2026/05/27 03:18,R09,購入候補,WARN,検証候補 / 確認対象,購入確定に近く見えるため、役割を併記する。
2026/05/27 03:18,R10,保有候補,WARN,検証候補,保有する前提に見えるため。
2026/05/27 03:18,R11,買う,WARN,開始する / 投入する / 検討する,文脈によって売買指示に見えるため。
2026/05/27 03:18,R12,売買判断,CONTEXT,売買判断ではない / 判断補助,否定文・注意文なら可。肯定文では不可。
2026/05/27 03:18,R13,購入検討,CONTEXT,購入検討用スコア / 購入検討へ進めない,ゲートや非採用説明なら可。購入対象の断定には使わない。
2026/05/27 03:18,R14,見送り,WARN,保留 / 除外 / 待機,理由を併記して使う。
2026/05/27 03:18,R15,損切り,WARN,停止条件 / 損失抑制ルール,実売買命令に見えないよう、条件として表現する。
2026/05/27 03:18,R16,利確,WARN,利益確定条件 / 途中評価条件,実売買命令に見えないよう、条件として表現する。
