updated_at,event_type,impact_strength,usable_for_nisa_1y,evidence_level,return_record_count,tdnet_classified_count,avg_excess_1d_pct,avg_excess_5d_pct,avg_excess_20d_pct,current_use,next_action,data_note,score_use,main_risk
2026/05/26 11:04,TOB/MBO/買収,S,低い,B: 分類DBあり・株価反応未結合,0,25,,,,候補発見と確認優先度まで。株価反応を結合するまで本体スコアへ直接加点しない。,TDnet分類済みイベントを株価時系列と結合し、1日/5日/20日超過リターンを計算。,イベント後リターンDBは未接続。 M&A・資本提携分類を代理。TOB/MBOだけの抽出は未分離。,購入候補加点ではなくイベント把握・裁定注意,発表後は織り込み済みで上値が限定されやすい
2026/05/26 11:04,上方修正/下方修正,S,高い,B: 分類DBあり・株価反応未結合,0,10,,,,候補発見と確認優先度まで。株価反応を結合するまで本体スコアへ直接加点しない。,TDnet分類済みイベントを株価時系列と結合し、1日/5日/20日超過リターンを計算。,イベント後リターンDBは未接続。 上方修正は分類済み。下方修正は追加分類が必要。,量的スコアに正式反映,一過性要因か本業継続かを誤る
2026/05/26 11:04,大型自社株買い/増配,A,中-高,B: 分類DBあり・株価反応未結合,0,50,,,,候補発見と確認優先度まで。株価反応を結合するまで本体スコアへ直接加点しない。,TDnet分類済みイベントを株価時系列と結合し、1日/5日/20日超過リターンを計算。,イベント後リターンDBは未接続。 自社株買い、配当・増配、減配を還元イベントとして集計。,還元スコアと需給評価に反映,既に期待されている場合は反応が弱い
2026/05/26 11:04,新商品/新サービス,S-A,高い,D: 仮説/分類のみ,0,0,,,,仮説発見のみ。量的データ、決算、株価反応で検証するまでスコアへ混ぜない。,公式イベント日、対象銘柄、比較指数を定義してから反応計算へ進める。,イベント後リターンDBは未接続。 TDnet分類は未接続。,質的仮説からKPI確認後に量的反映,期待先行・材料出尽くし・初動失敗
2026/05/26 11:04,大型契約/受注/提携,S-A,高い,B: 分類DBあり・株価反応未結合,0,25,,,,候補発見と確認優先度まで。株価反応を結合するまで本体スコアへ直接加点しない。,TDnet分類済みイベントを株価時系列と結合し、1日/5日/20日超過リターンを計算。,イベント後リターンDBは未接続。 提携分類を代理。大型契約/受注は未分離。,受注残・売上寄与を確認して反映,契約金額や利益率が不明だと過大評価
2026/05/26 11:04,臨床試験/承認/薬価,A-S,銘柄による,D: 仮説/分類のみ,0,0,,,,仮説発見のみ。量的データ、決算、株価反応で検証するまでスコアへ混ぜない。,公式イベント日、対象銘柄、比較指数を定義してから反応計算へ進める。,イベント後リターンDBは未接続。 TDnet分類は未接続。,成功/失敗シナリオを別計算,失敗時の下落が大きい
2026/05/26 11:04,金利/FOMC/日銀,A,高い,A: 株価反応DBあり,128,0,0.55,-0.41,-1.66,市場ゲート、セクター感応度、確認優先度に使用可。ただし銘柄固有判断には個別データを併用。,候補10社への銘柄別感応度を増やす。FOMC/日銀以外のCPI・為替イベントを追加。,FOMC 64件、日銀会合64件を接続済み。 TDnet分類は未接続。,市場ゲート・セクター感応度に反映,方向が読めても市場期待との差で逆に動く
2026/05/26 11:04,CPI/PPI/雇用統計,A,中-高,D: 仮説/分類のみ,0,0,,,,マクロゲートとして手動/別系列で確認。銘柄点への直接加点はしない。,イベント日カレンダーと対象系列を作成し、株価時系列と結合。,イベント後リターンDBは未接続。 TDnet分類は未接続。,マクロゲートとして使う,単月データで過剰反応しやすい
2026/05/26 11:04,為替急変,A,高い,D: 仮説/分類のみ,0,0,,,,マクロゲートとして手動/別系列で確認。銘柄点への直接加点はしない。,イベント日カレンダーと対象系列を作成し、株価時系列と結合。,イベント後リターンDBは未接続。 TDnet分類は未接続。,海外売上比率・原価比率と結合,ヘッジや現地生産で企業差が大きい
2026/05/26 11:04,原油/ナフサ/商品価格,A,中-高,D: 仮説/分類のみ,0,0,,,,マクロゲートとして手動/別系列で確認。銘柄点への直接加点はしない。,イベント日カレンダーと対象系列を作成し、株価時系列と結合。,イベント後リターンDBは未接続。 TDnet分類は未接続。,原価率・価格転嫁力と結合,価格転嫁力を無視すると逆判定になる
2026/05/26 11:04,戦争/停戦/地政学,A-S,中,D: 仮説/分類のみ,0,0,,,,仮説発見のみ。量的データ、決算、株価反応で検証するまでスコアへ混ぜない。,公式イベント日、対象銘柄、比較指数を定義してから反応計算へ進める。,イベント後リターンDBは未接続。 TDnet分類は未接続。,リスクゲートとシナリオ評価,予測困難で急反転しやすい
2026/05/26 11:04,大型スポーツイベント/万博/BIGイベント,B-A,中,D: 仮説/分類のみ,0,0,,,,仮説発見のみ。量的データ、決算、株価反応で検証するまでスコアへ混ぜない。,公式イベント日、対象銘柄、比較指数を定義してから反応計算へ進める。,イベント後リターンDBは未接続。 TDnet分類は未接続。,関連企業の売上KPIがある場合のみ反映,効果が広く薄く織り込まれやすい
2026/05/26 11:04,AI/半導体/データセンター投資,A-S,高い,D: 仮説/分類のみ,0,0,,,,仮説発見のみ。量的データ、決算、株価反応で検証するまでスコアへ混ぜない。,公式イベント日、対象銘柄、比較指数を定義してから反応計算へ進める。,イベント後リターンDBは未接続。 TDnet分類は未接続。,テーマ仮説と量的ゲートを両方必須,過熱PER・設備投資循環の反転
2026/05/26 11:04,ビットコイン急落/急騰,B-A,低-中,D: 仮説/分類のみ,0,0,,,,仮説発見のみ。量的データ、決算、株価反応で検証するまでスコアへ混ぜない。,公式イベント日、対象銘柄、比較指数を定義してから反応計算へ進める。,イベント後リターンDBは未接続。 TDnet分類は未接続。,相関が確認できる銘柄だけ参考,株価との因果が弱い場合が多い
2026/05/26 11:04,規制/補助金/国策,A-S,高い,D: 仮説/分類のみ,0,0,,,,仮説発見のみ。量的データ、決算、株価反応で検証するまでスコアへ混ぜない。,公式イベント日、対象銘柄、比較指数を定義してから反応計算へ進める。,イベント後リターンDBは未接続。 TDnet分類は未接続。,政策→予算→受注の順に確認,予算化や受注化しないと業績に出ない
2026/05/26 11:04,自然災害/災害対策,A,中,D: 仮説/分類のみ,0,0,,,,仮説発見のみ。量的データ、決算、株価反応で検証するまでスコアへ混ぜない。,公式イベント日、対象銘柄、比較指数を定義してから反応計算へ進める。,イベント後リターンDBは未接続。 TDnet分類は未接続。,投資候補よりリスク管理と復旧需要確認,倫理面と一過性需要・損害額の不確実性
2026/05/26 11:04,決算短信/業績発表,S-A,高い,B: 分類DBあり・株価反応未結合,0,108,,,,候補発見と確認優先度まで。株価反応を結合するまで本体スコアへ直接加点しない。,TDnet分類済みイベントを株価時系列と結合し、1日/5日/20日超過リターンを計算。,イベント後リターンDBは未接続。 TDnet決算短信分類を集計。株価反応結合は一部のみ。,決算後反応と業績成長で正式反映,一過性要因と継続要因を取り違える。
2026/05/26 11:04,月次業績,B-A,中,C: 少数分類のみ,0,4,,,,仮説発見のみ。量的データ、決算、株価反応で検証するまでスコアへ混ぜない。,公式イベント日、対象銘柄、比較指数を定義してから反応計算へ進める。,イベント後リターンDBは未接続。 TDnet月次分類を集計。,連続性を確認して補助指標にする,月次の季節性や一時要因に振られやすい。
2026/05/26 11:04,株式分割,B,低-中,C: 少数分類のみ,0,1,,,,仮説発見のみ。量的データ、決算、株価反応で検証するまでスコアへ混ぜない。,公式イベント日、対象銘柄、比較指数を定義してから反応計算へ進める。,イベント後リターンDBは未接続。 TDnet株式分割分類を集計。,直接加点せず流動性確認に使う,企業価値そのものは変わらない。
