updated_at,rank,ticker,company,sector,nisa_score_reference,quantitative_grade,data_confidence,per_status,per_note,reaction_status,reaction_note,data_readiness_score,readiness_basis,score_use,next_action
2026/05/26 21:04,9,6146.T,ディスコ,半導体装置,60.9,C,92,実績PER試算あり,61.44倍、採点未接続,20営業日確定済み,20日超過 -19.66%,92,PERは試算、PBR/ROEあり / 売上/利益成長あり / 株価推移/下落率あり,データ準備状況。投資判断スコアではない,実績PERと予想PERの扱いを固定し、採点へ戻すか判断する。
2026/05/26 21:04,1,6762.T,TDK,電子部品,60.7,A,100,採点用PERあり,26.7倍,1日/5日暫定,20営業日未到達,90,PER/PBR/ROEそろい / 売上/利益成長あり / 株価推移/下落率あり,データ準備状況。投資判断スコアではない,20営業日到達後に対指数反応を再計算する。
2026/05/26 21:04,2,2802.T,味の素,食品,67.8,B,95,採点用PERあり,43.73倍,1日/5日暫定,20営業日未到達,90,PER/PBR/ROEそろい / 売上/利益成長あり / 株価推移/下落率あり,データ準備状況。投資判断スコアではない,20営業日到達後に対指数反応を再計算する。
2026/05/26 21:04,4,8316.T,三井住友FG,銀行,65.1,B,95,採点用PERあり,13.61倍,1日/5日暫定,20営業日未到達,90,PER/PBR/ROEそろい / 売上/利益成長あり / 株価推移/下落率あり,データ準備状況。投資判断スコアではない,20営業日到達後に対指数反応を再計算する。
2026/05/26 21:04,6,6367.T,ダイキン工業,空調,52.6,C,100,採点用PERあり,24.97倍,1日/5日暫定,20営業日未到達,90,PER/PBR/ROEそろい / 売上/利益成長あり / 株価推移/下落率あり,データ準備状況。投資判断スコアではない,20営業日到達後に対指数反応を再計算する。
2026/05/26 21:04,7,6503.T,三菱電機,総合電機,55.6,C,95,採点用PERあり,26.09倍,1日/5日暫定,20営業日未到達,90,PER/PBR/ROEそろい / 売上/利益成長あり / 株価推移/下落率あり,データ準備状況。投資判断スコアではない,20営業日到達後に対指数反応を再計算する。
2026/05/26 21:04,8,5020.T,ENEOS HD,エネルギー,64.3,C,95,採点用PERあり,8.36倍,1日/5日暫定,20営業日未到達,90,PER/PBR/ROEそろい / 売上/利益成長あり / 株価推移/下落率あり,データ準備状況。投資判断スコアではない,20営業日到達後に対指数反応を再計算する。
2026/05/26 21:04,3,8766.T,東京海上HD,保険,65.4,B,100,採点用PERあり,17.61倍,1日暫定,5日/20営業日未到達,85,PER/PBR/ROEそろい / 売上/利益成長あり / 株価推移/下落率あり,データ準備状況。投資判断スコアではない,5営業日到達後に対指数反応を再計算する。
2026/05/26 21:04,5,8306.T,三菱UFJ FG,銀行,62.1,C,92,実績PER試算あり,17倍、採点未接続,1日/5日暫定,20営業日未到達,82,PERは試算、PBR/ROEあり / 売上/利益成長あり / 株価推移/下落率あり,データ準備状況。投資判断スコアではない,実績PERと予想PERの扱いを固定し、採点へ戻すか判断する。
2026/05/26 21:04,10,4385.T,メルカリ,ネット,79.8,保留,87,PER未取得,追加取得が必要,1日/5日暫定,20営業日未到達,61,財務指標不足 / 売上/利益成長あり / 株価推移/下落率あり,データ準備状況。投資判断スコアではない,PERの公式取得またはEPS基準の確認を優先する。
