ticker,銘柄,業種,作業分類,入力項目,入力する値,推奨取得先,判定への使い方
8316.T,三井住友FG,銀行,確証強化,公式値照合,,原資料、決算短信、IR資料,既存入力値が原資料と一致するか確認
8316.T,三井住友FG,銀行,確証強化,同業中央値比較,,同業3〜5社のPER/PBR/ROE,業種ごとの差を補正して比較
8766.T,東京海上HD,保険,確証強化,公式値照合,,原資料、決算短信、IR資料,既存入力値が原資料と一致するか確認
8766.T,東京海上HD,保険,確証強化,同業中央値比較,,同業3〜5社のPER/PBR/ROE,業種ごとの差を補正して比較
8306.T,三菱UFJ FG,銀行,量的補完,PER/PBR/ROE,,決算短信、IR、EDINET、J-Quants等,同業中央値と比較し、割高・割安・資本効率を確認
8306.T,三菱UFJ FG,銀行,量的補完,売上成長率・利益成長率,,直近決算、過去決算、通期予想,長期株価上昇が業績成長で説明できるか確認
8306.T,三菱UFJ FG,銀行,量的補完,決算後1日/5日/20日反応,,株価時系列、日経平均またはTOPIX,決算後に市場平均を上回ったか確認
8306.T,三菱UFJ FG,銀行,量的補完,同業中央値比較,,同業3〜5社のPER/PBR/ROE,業種ごとの差を補正して比較
7011.T,三菱重工,重工・防衛,量的補完,PER/PBR/ROE,,決算短信、IR、EDINET、J-Quants等,同業中央値と比較し、割高・割安・資本効率を確認
7011.T,三菱重工,重工・防衛,量的補完,売上成長率・利益成長率,,直近決算、過去決算、通期予想,長期株価上昇が業績成長で説明できるか確認
7011.T,三菱重工,重工・防衛,量的補完,決算後1日/5日/20日反応,,株価時系列、日経平均またはTOPIX,決算後に市場平均を上回ったか確認
7011.T,三菱重工,重工・防衛,量的補完,同業中央値比較,,同業3〜5社のPER/PBR/ROE,業種ごとの差を補正して比較
8058.T,三菱商事,商社,量的補完,PER/PBR/ROE,,決算短信、IR、EDINET、J-Quants等,同業中央値と比較し、割高・割安・資本効率を確認
8058.T,三菱商事,商社,量的補完,売上成長率・利益成長率,,直近決算、過去決算、通期予想,長期株価上昇が業績成長で説明できるか確認
8058.T,三菱商事,商社,量的補完,決算後1日/5日/20日反応,,株価時系列、日経平均またはTOPIX,決算後に市場平均を上回ったか確認
8058.T,三菱商事,商社,量的補完,同業中央値比較,,同業3〜5社のPER/PBR/ROE,業種ごとの差を補正して比較
6501.T,日立製作所,総合電機・IT,量的補完,PER/PBR/ROE,,決算短信、IR、EDINET、J-Quants等,同業中央値と比較し、割高・割安・資本効率を確認
6501.T,日立製作所,総合電機・IT,量的補完,売上成長率・利益成長率,,直近決算、過去決算、通期予想,長期株価上昇が業績成長で説明できるか確認
6501.T,日立製作所,総合電機・IT,量的補完,決算後1日/5日/20日反応,,株価時系列、日経平均またはTOPIX,決算後に市場平均を上回ったか確認
6501.T,日立製作所,総合電機・IT,量的補完,同業中央値比較,,同業3〜5社のPER/PBR/ROE,業種ごとの差を補正して比較
8031.T,三井物産,商社,量的補完,PER/PBR/ROE,,決算短信、IR、EDINET、J-Quants等,同業中央値と比較し、割高・割安・資本効率を確認
8031.T,三井物産,商社,量的補完,売上成長率・利益成長率,,直近決算、過去決算、通期予想,長期株価上昇が業績成長で説明できるか確認
8031.T,三井物産,商社,量的補完,決算後1日/5日/20日反応,,株価時系列、日経平均またはTOPIX,決算後に市場平均を上回ったか確認
8031.T,三井物産,商社,量的補完,同業中央値比較,,同業3〜5社のPER/PBR/ROE,業種ごとの差を補正して比較
5802.T,住友電工,電線・通信,量的補完,PER/PBR/ROE,,決算短信、IR、EDINET、J-Quants等,同業中央値と比較し、割高・割安・資本効率を確認
5802.T,住友電工,電線・通信,量的補完,売上成長率・利益成長率,,直近決算、過去決算、通期予想,長期株価上昇が業績成長で説明できるか確認
5802.T,住友電工,電線・通信,量的補完,決算後1日/5日/20日反応,,株価時系列、日経平均またはTOPIX,決算後に市場平均を上回ったか確認
5802.T,住友電工,電線・通信,量的補完,同業中央値比較,,同業3〜5社のPER/PBR/ROE,業種ごとの差を補正して比較
5801.T,古河電工,電線・通信,仮説検算,過熱・最大下落確認,,5年最大下落率、1年上昇率、出来高、PER,テーマ先行で買われすぎていないか確認
5801.T,古河電工,電線・通信,仮説検算,同業中央値比較,,同業3〜5社のPER/PBR/ROE,業種ごとの差を補正して比較
8001.T,伊藤忠商事,商社,量的補完,PER/PBR/ROE,,決算短信、IR、EDINET、J-Quants等,同業中央値と比較し、割高・割安・資本効率を確認
8001.T,伊藤忠商事,商社,量的補完,売上成長率・利益成長率,,直近決算、過去決算、通期予想,長期株価上昇が業績成長で説明できるか確認
8001.T,伊藤忠商事,商社,量的補完,決算後1日/5日/20日反応,,株価時系列、日経平均またはTOPIX,決算後に市場平均を上回ったか確認
8001.T,伊藤忠商事,商社,量的補完,同業中央値比較,,同業3〜5社のPER/PBR/ROE,業種ごとの差を補正して比較
